NMR	GUY	0	1080.25
ATG	KOR	2	203.93
SAU	CAS	0	69.24
MEX	TKM	0	84.43
LBR	OMN	0	283.83
COM	CHN	0	5067.06
SVK	KGZ	0	1634.38
SLV	ZMB	0	0.00
MUS	NMR	0	86.00
TCD	MEA	0	980.42
FJI	VCT	0	348.77
AND	PRK	0	-37.37
CYM	LUX	0	1658.57
WSM	BEL	0	850.08
PRT	LKA	42	3734.44
BEL	GNB	0	2802.35
AGO	TJK	0	5.22
WSM	BRA	0	21599.92
HND	ESP	50	25465.60
UZB	AGO	1	558.04
CZE	CUB	7	47399.00
ARG	AZE	7	18490.65
GAB	LBN	0	166.99
TWN	BEL	15	8472.11
MCO	PER	27	-7743.55
PSE	BRN	0	373.43
KOR	CMR	8	4766.94
BLR	CAN	22	5393.57
VEN	CPV	0	58.72
BHR	PRT	2	2421.22
SDN	ZAF	169	19578.54
NZL	CAF	0	0.00
NRU	NER	0	28.84
SRB	SAU	3	11497.67
GRD	SOM	3	-1957.69
ALB	SDN	6	-2870.43
THA	AGO	12	-1829.43
GUY	MDV	42	-9857.45
COM	PER	1	400.85
SOM	AUS	489	-331411.83
TTO	LTU	0	33.67
TWN	CHN	5038	1765828.33
PER	YEM	4	862.63
KIR	MNG	0	473.01
HUN	AGO	1	3227.33
HND	LBR	0	387.60
VUT	COM	0	436.50
TUN	TZA	0	970.43
COG	TWN	0	162.05
AUT	CYP	6	12385.38
FIN	VNM	17	22460.56
CHN	GBR	5814	4746047.65
MDV	USA	10751	-4069153.46
NZL	URY	9	20901.77
WSM	HTI	1	54.53
KOR	DMA	0	838.37
MLI	KAZ	0	852.45
PGS	KOR	0	1023.56
HTI	WSM	6	-742.12
VNM	BDI	0	459.97
TCD	MRT	12	88724.75
TUV	IRL	0	126.75
PSE	KAZ	0	973.96
PAK	SYR	919	-4233.81
MYS	YEM	186	-88587.40
MNG	PRT	0	132.25
NMR	COG	4	-267.97
PHL	BRN	420	101617.99
BTN	ARE	0	4399.97
UKR	BLZ	3	-247.00
NRU	SAS	1	-55.80
GRD	DZA	0	57.89
COG	STP	0	1688.52
KIR	CRI	0	-1.73
SEA	FIN	0	1201.15
TUN	GEO	0	15.39
KHM	DOM	0	1000.26
BEN	UGA	0	874.57
WST	KNA	0	2625.66
ISL	AZE	0	601.93
TWN	BRA	24	14649.66
EGY	MRT	10	24207.06
GMB	ISL	0	345.30
TWN	FJI	10	-5471.78
CYP	ERI	0	67.35
GBR	TUR	3513	-36842.61
CRB	PER	0	15.97
TON	TUR	0	369.36
SLE	LCA	0	97.83
LCA	UKR	0	109.86
BTN	NLD	0	1223.25
DZA	EGY	216	97819.56
ARG	SUR	0	3391.95
ABW	URY	0	50.87
NZL	QAT	19	47793.14
GEO	TUR	1	1206.67
CHE	EUR	528	608171.95
NOR	LUX	11	21102.48
BOL	TUN	0	72.60
BEN	TUN	0	2552.66
CRB	BEL	0	101.81
BHR	CHE	10	33233.87
SWZ	DEU	3	-398.79
GIN	ESP	20	-14486.08
NLD	LCA	1	1575.36
KHM	LKA	46	3729.03
SOM	FRA	281	15149.41
CMR	NZL	13	-462.17
CYM	IND	0	424.63
CAF	KNA	0	0.00
MAR	OMN	25	13514.30
MWI	STP	0	30.72
BDI	BFA	0	1419.43
CHN	BOL	35	60259.05
SLE	BMU	0	45.46
KNA	KHM	0	2647.02
BGR	LVA	9	12536.64
EGY	YEM	1220	-289412.81
LBN	CUB	10	11379.59
ITA	ZWE	71	7081.52
SYC	MUS	26	69493.42
WSM	CHN	26	43784.43
BEL	NER	5	1393.44
RUS	ITA	811	577759.38
ALB	SLV	0	40.08
NIC	JAM	2	4842.27
MDV	NRU	2	1389.88
KOR	SLE	6	4669.06
TMP	ASA	0	471.06
EUR	KEN	99	114121.89
MLT	DJI	4	-402.16
SRB	UZB	0	16215.41
GEO	NOR	0	255.97
VCT	GUY	5	2859.57
TCD	ATG	1	-164.25
ZAF	EST	0	134.72
TUV	KIR	7	14756.39
ABW	ZAF	0	75.75
CHE	BRA	155	130484.50
BRN	UZB	0	89.82
CRI	LVA	0	171.02
MUS	PGS	0	-54.51
AFG	BDI	3	-1101.42
FIN	LAO	0	521.44
QAT	CHN	116	187557.28
SVK	DNK	6	4125.10
BEL	BRB	6	573.12
GIN	SEA	0	2101.45
MHL	BRB	0	40865.48
BMU	IND	1	868.77
LKA	ALB	0	1599.84
LBR	NER	3	10372.12
TUN	AUT	21	11970.05
CMR	PRK	2	-1403.19
FSM	TCD	1	-205.04
EGY	DMA	0	0.69
NRU	GTM	0	-191.22
CHL	KGZ	1	-464.22
EST	IRL	28	-12243.18
SAU	RWA	6	3332.38
LBR	MCO	15	-494.44
MAR	ZMB	4	6014.03
MMR	SRB	0	1155.58
PRK	RWA	4	-2168.00
PRY	MLI	0	65.52
PRY	BLR	0	446.55
KWT	TUN	250	-161253.48
SWE	MKD	7	464.89
NLD	JOR	58	22148.74
ARE	EGY	683	190389.25
USA	HND	4269	329890.99
TUN	CUB	7	12093.16
EGY	AZE	30	36013.95
VCT	JPN	7	917.19
BWA	UZB	0	49.39
CPV	GMB	0	6281.87
WST	NOR	120	356216.78
LUX	LCA	0	114.35
TTO	CYP	0	228.55
MEA	ESP	0	774.15
SLE	IRN	3	2849.74
ETH	NLD	97	-61396.73
TJK	KAZ	62	136021.30
ITA	SYC	16	3193.48
COG	ISR	4	1094.07
SVK	SDN	1	870.20
CUB	USA	11846	9330194.71
GAB	JOR	2	1507.30
ETH	SAF	0	1345.59
SAU	DEU	369	407369.86
CYM	GMB	0	0.00
MLT	RWA	0	642.87
NRU	SYR	42	-82095.10
MYS	SAF	0	80.70
CAN	IRN	1372	-166409.74
PAK	SRB	70	-46481.13
JAM	AGO	3	599.74
DJI	MAR	0	687.51
NGA	PRK	72	12520.75
ISR	MLT	40	15015.68
URY	VNM	0	4366.89
CYP	ALB	5	31.73
UKR	BEL	156	339873.78
GMB	CPV	0	5385.75
VUT	COL	2	48.05
GHA	BFA	147	79660.44
GMB	FJI	0	1570.38
DNK	CMR	7	25.20
TUN	GMB	5	579.97
